fecha,partido,mercado,prob,cuota_justa,tipo
2026-06-14,Sweden vs Tunisia,Sweden o empate,0.71,1.41,goles
2026-06-14,Netherlands vs Japan,Netherlands o empate,0.701,1.43,goles
2026-06-22,Norway vs Senegal,Norway o empate,0.69,1.45,goles
2026-06-24,Canada vs Switzerland,Switzerland o empate,0.704,1.42,goles
2026-06-25,Curaçao vs Ivory Coast,Gana Ivory Coast,0.694,1.44,goles
2026-06-25,Paraguay vs Australia,Australia o empate,0.69,1.45,goles
2026-06-26,Egypt vs Iran,Iran o empate,0.7110000000000001,1.41,goles
2026-06-26,Cape Verde vs Saudi Arabia,Saudi Arabia o empate,0.704,1.42,goles
2026-06-27,DR Congo vs Uzbekistan,Uzbekistan o empate,0.6950000000000001,1.44,goles
